DATE,EMRATIO,GovDebt%,Pers_Sav%,Trade_Bal(com)%,Inf%,GINI_INDEX,C_Sent(IND),DispIncCHAINED,C_Accounts%GDP,PCE(IND),NonFarmEmp%,LF_Part%,unemp%,LifeExp,USDJPY,M2chained,HOUST%,Age_Dep%,Cap_Ex%,PPI(IND),Ind Prod%,M2V_prop,Gov Def%,CO2,Corp_prof%,GPDI%,IR%,GovC+I,GDP
1965-01-01,56.1666666666666667,6.29467,11.4416666666666667,-25.05989,1.58516926383662,37.5,103.4250000000000000,3100.6833333333333333,0.73224880000000000000,3.33298,4.25440,58.8333333333333333,4.5083333333333333,70.2146341463415,,1403.2333333333333333,-4.61455,15.9590019442031,9.45917,32.2666666666666667,9.93754,1.6775000000000000,-13.30153,,18.87271,15.59851,4.0767671232876712,1415.0482500000000000,4478.5552500000000000
1966-01-01,56.9250000000000000,8.99312,11.1583333333333333,-28.90716,3.01507537688433,37.8,93.8000000000000000,3265.7333333333333333,0.37371877500000000500,3.611,5.16806,59.1500000000000000,3.7916666666666667,70.2121951219512,,1451.6833333333333333,-20.61025,15.9201795745393,9.42399,33.3083333333333333,8.84754,1.7255000000000000,26.15012,,9.01780,11.21653,5.1143561643835616,1538.2900000000000000,4773.9312500000000000
1967-01-01,57.2583333333333333,8.22641,12.3250000000000000,9.29604,2.77278562259309,36.9,94.9750000000000000,3408.9000000000000000,0.30118005000000000750,3.81227,2.98386,59.5666666666666667,3.8416666666666667,70.5609756097561,,1508.7666666666666667,10.14431,15.9220339783272,3.46664,33.4000000000000000,2.15859,1.7082500000000000,26.8714,,-2.64866,-1.03268,4.2164383561643836,1660.3965000000000000,4904.8637500000000000
1968-01-01,57.5083333333333333,11.95112,11.3333333333333333,-75.49531,4.27179615288544,36.3,93.4250000000000000,3563.9083333333333333,0.06611530750000000000,4.18973,3.17166,59.6250000000000000,3.5583333333333333,69.9512195121951,,1567.1333333333333333,17.02555,15.923958137713,8.71974,34.2333333333333333,5.55491,1.7250000000000000,121.70265,,7.29619,9.96507,5.6618852459016393,1716.8357500000000000,5145.9142500000000000
1969-01-01,57.9666666666666667,11.86054,10.9000000000000000,27.66340,5.46238620028745,36.0,88.9500000000000000,3684.5416666666666667,0.03834753249999999500,4.54192,3.65763,60.0750000000000000,3.4916666666666667,70.5073170731708,,1577.8416666666666667,-1.12509,15.8418732971365,8.12238,35.5916666666666667,4.64217,1.7582500000000000,-133.89578,,-1.72491,10.60614,8.2143013698630137,1718.4362500000000000,5306.5945000000000000
1970-01-01,57.3916666666666667,21.35887,12.8000000000000000,118.63942,5.83825533848245,36.6,75.8750000000000000,3854.7916666666666667,0.21785689000000000000,4.86602,0.69855,60.3833333333333333,4.9833333333333333,70.8073170731707,,1548.3250000000000000,-3.48655,15.83392875368,1.74861,36.9000000000000000,-3.29751,1.7850000000000000,-308.29063,4252.119759,-7.86463,-2.01946,7.1709041095890411,1682.1197500000000000,5316.3912500000000000
1971-01-01,56.5916666666666667,5.71557,13.4750000000000000,-168.84600,4.29276668813068,36.9,80.6000000000000000,4033.3833333333333333,-0.11926459999999999500,5.2663,0.45535,60.1583333333333333,5.9500000000000000,71.1073170731707,347.7856903765690377,1665.4250000000000000,41.86897,15.8393910161331,8.43785,38.1083333333333333,1.36706,1.7282500000000000,117.81039,4297.282895,17.20553,15.73992,4.6679452054794521,1650.5010000000000000,5491.4455000000000000
1972-01-01,56.9833333333333333,6.79722,12.3500000000000000,231.31891,3.27227824655272,36.7,91.8250000000000000,4227.3916666666666667,-0.45554882500000002000,5.77963,3.44428,60.3833333333333333,5.6000000000000000,71.1560975609756,303.1249800796812749,1812.9750000000000000,15.97413,15.8619159168245,13.214,39.7916666666666667,9.61680,1.6877500000000000,-29.90843,4516.734358,19.09901,15.91250,4.4371311475409836,1641.8030000000000000,5780.0482500000000000
1973-01-01,57.8250000000000000,15.04385,13.4500000000000000,-122.37780,6.17776006377044,36.1,76.8500000000000000,4489.7083333333333333,0.49231301749999998000,6.39234,4.22034,60.7750000000000000,4.8583333333333333,71.3560975609756,271.3054800000000000,1872.7000000000000000,-13.42088,15.940915810033,13.21366,45.0250000000000000,8.20115,1.7135000000000000,-54.63022,4713.330487,30.90089,16.99933,8.7422739726027397,1636.5320000000000000,6106.3705000000000000
1974-01-01,57.8250000000000000,10.84059,13.3000000000000000,-806.12374,11.0548048048047,35.5,64.4500000000000000,4440.0416666666666667,0.12957369000000000000,6.99853,1.92638,61.2750000000000000,5.6416666666666667,71.9560975609756,291.8446000000000000,1786.5916666666666667,-34.83508,16.0571278066669,6.31971,53.4833333333333333,-0.29176,1.7545000000000000,38.75428,4541.830703,13.72483,2.84742,10.5113972602739726,1672.5117500000000000,6073.3627500000000000
1975-01-01,56.0500000000000000,9.34270,13.4083333333333333,-138.01023,9.14314686496539,35.7,70.4250000000000000,4549.2000000000000000,1.07565685000000005000,7.75401,-1.67341,61.2333333333333333,8.4750000000000000,72.6048780487805,296.7848800000000000,1789.4500000000000000,-12.92623,16.2095044976729,3.32966,58.4166666666666667,-8.90973,1.7490000000000000,586.69775,4417.512241,-5.05986,-6.29166,5.8211780821917808,1709.3175000000000000,6060.8752500000000000
1976-01-01,56.8333333333333333,12.25342,11.6250000000000000,-479.28809,5.74481263549081,35.6,86.1500000000000000,4694.3833333333333333,0.23389461250000000000,8.63515,3.16070,61.5833333333333333,7.7000000000000000,72.8560975609756,296.4544047619047619,1907.8750000000000000,32.35611,16.4161990318981,13.75073,61.1333333333333333,7.88595,1.7247500000000000,-25.44501,4686.283359,26.06910,25.64423,5.0450819672131148,1718.2220000000000000,6387.4365000000000000
1977-01-01,57.8583333333333333,10.80719,10.6583333333333333,170.74700,6.5016839947284,35.5,87.6750000000000000,4842.3250000000000000,-0.68354004999999997500,9.5855,3.88936,62.2333333333333333,7.0500000000000000,73.2560975609756,268.6193600000000000,2014.2750000000000000,27.80673,16.6366663331236,18.11679,64.8750000000000000,7.64657,1.7045000000000000,-8.86623,4824.597268,16.95444,22.70488,5.5423013698630137,1738.9237500000000000,6682.8045000000000000
